customerID,customerType,riskLevel,investmentCapacity,lastQuestionnaireDate,timestamp,is_risk_predicted,is_capacity_predicted,snapshot_asof_date
00017496858921195E5A,Professional,Aggressive,CAP_GT300K,2020-03-13,2020-03-27,False,False,2021-01-01
0004718496C71D464F57,Mass,Conservative,CAP_80K_300K,2000-01-01,2018-01-02,True,True,2021-01-01
00090203A8C62E135D0B,Mass,Income,CAP_LT30K,2021-05-18,2018-01-02,False,False,2021-01-01
001270E70A4ECA1CD664,Mass,Balanced,CAP_LT30K,2018-05-24,2018-01-02,False,False,2021-01-01
001387DFC77BD44899B2,Premium,Balanced,CAP_30K_80K,2018-10-09,2020-03-18,False,False,2021-01-01
0017D195DFD87A91C59D,Mass,Conservative,CAP_LT30K,2021-04-21,2018-01-02,False,False,2021-01-01
001A82FE1591AD3926C7,Premium,Income,CAP_30K_80K,2021-05-14,2018-01-02,False,False,2021-01-01
001D77E16FF29EC57F3E,Mass,Conservative,CAP_LT30K,2021-09-13,2018-01-02,False,False,2021-01-01
001DBF6F6166CB131033,Mass,Income,CAP_LT30K,2000-01-01,2018-01-02,True,True,2021-01-01
00215BA74DB4920E04AF,Mass,Income,CAP_LT30K,2020-02-14,2020-02-14,False,False,2021-01-01
0022380BB9D5062D4627,Mass,Income,CAP_LT30K,2020-01-02,2018-01-02,False,False,2021-01-01
002443977993FF4A3219,Mass,Income,CAP_LT30K,2000-01-01,2018-01-02,True,True,2021-01-01
00257A17CD207724AE86,Mass,Income,CAP_LT30K,2000-01-01,2018-01-02,True,True,2021-01-01
0025F4F5A591ECC76D2B,Premium,Conservative,CAP_30K_80K,2020-12-09,2018-01-02,False,False,2021-01-01
002A1215764F03F4B554,Mass,Conservative,CAP_LT30K,2000-01-01,2018-01-02,True,True,2021-01-01
002D8901556066EA2453,Mass,Income,CAP_30K_80K,2021-11-04,2020-05-14,False,False,2021-01-01
0030B344AA10500D927B,Mass,Balanced,CAP_LT30K,2019-05-02,2018-01-02,False,False,2021-01-01
0038715CF6249F269F70,Mass,Balanced,CAP_LT30K,2019-10-11,2018-01-02,False,False,2021-01-01
00393625688E74B6B0B1,Mass,Income,CAP_LT30K,2018-06-04,2018-01-02,False,False,2021-01-01
